Notification date,Transaction date,"B/S
Transaction type",Insider and/or position,"Nb. shares
Price
Value",Number of shares,Price,Value,Details
2024-07-18,2024-07-17,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","1,000
-0.0%

184.32


USD 184,323","1,000
-0.0%",184.32,"USD 100,000",
2024-07-18,2024-07-17,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","1,000
-0.4%

183.14


USD 1,675,534","1,000
-0.4%",183.14,"USD 100,000",
2024-07-18,2024-07-17,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","1,000
-0.6%

182.49


USD 2,253,946","1,000
-0.6%",182.49,"USD 100,000",
2024-07-16,2024-07-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","1,000
-1.5%

186.41


USD 88,360","1,000
-1.5%",186.41,"USD 100,000",
2024-07-16,2024-07-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","1,000
-3.2%

185.59


USD 190,415","1,000
-3.2%",185.59,"USD 100,000",
2024-07-03,2024-07-03,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","13,525
-0.6%

187.18


USD 2,531,619","13,525
-0.6%",187.18,"USD 2,531,619",
2024-07-03,2024-07-03,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","8,975
-0.4%

186.09


USD 1,670,129","8,975
-0.4%",186.09,"USD 1,670,129",
2024-07-02,2024-07-02,"S
Sale","O'Toole Amie Thuener

VP, Chief Accounting Officer
Officer","682
-2.2%

183.47


USD 125,127","682
-2.2%",183.47,"USD 125,127",
2024-07-02,2024-07-01,"S
Sale","RAGHAVAN PRABHAKAR

Senior Vice President
Officer","100
-91.7%

185.14


USD 18,514","100
-91.7%",185.14,"USD 18,514",
2024-07-02,2024-07-01,"S
Sale","RAGHAVAN PRABHAKAR

Senior Vice President
Officer","1,662
-93.8%

184.29


USD 306,282","1,662
-93.8%",184.29,"USD 306,282",
2024-07-02,2024-07-01,"S
Sale","RAGHAVAN PRABHAKAR

Senior Vice President
Officer","1,500
-45.9%

183.58


USD 275,376","1,500
-45.9%",183.58,"USD 275,376",
2024-06-21,2024-06-20,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","7,404
-0.3%

177.75


USD 1,316,085","7,404
-0.3%",177.75,"USD 1,316,085",
2024-06-21,2024-06-20,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","15,096
-0.7%

177.23


USD 2,675,393","15,096
-0.7%",177.23,"USD 2,675,393",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","11
-0.0%

179.19


USD 1,971","11
-0.0%",179.19,"USD 1,971",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","130
-0.4%

178.54


USD 23,210","130
-0.4%",178.54,"USD 23,210",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","176
-0.5%

177.38


USD 31,218","176
-0.5%",177.38,"USD 31,218",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","519
-1.6%

176.73


USD 91,724","519
-1.6%",176.73,"USD 91,724",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","53
-1.4%

180.66


USD 9,575","53
-1.4%",180.66,"USD 9,575",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","155
-3.9%

179.36


USD 27,801","155
-3.9%",179.36,"USD 27,801",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","424
-9.7%

178.51


USD 75,690","424
-9.7%",178.51,"USD 75,690",
2024-06-12,2024-06-12,"S
Sale","HENNESSY JOHN L

Non-Executive Director","32
-0.7%

177.97


USD 5,695","32
-0.7%",177.97,"USD 5,695",
2024-06-05,2024-06-05,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","3,076
-0.1%

177.52


USD 546,064","3,076
-0.1%",177.52,"USD 546,064",
2024-06-05,2024-06-05,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","11,323
-0.5%

176.75


USD 2,001,328","11,323
-0.5%",176.75,"USD 2,001,328",
2024-06-05,2024-06-05,"S
Sale","Pichai Sundar

Chief Executive Officer
Executive Director","8,101
-0.4%

175.99


USD 1,425,730","8,101
-0.4%",175.99,"USD 1,425,730",
2024-06-03,2024-06-03,"S
Sale","O'Toole Amie Thuener

VP, Chief Accounting Officer
Officer","682
-2.2%

173.86


USD 118,573","682
-2.2%",173.86,"USD 118,573",
2024-05-15,2024-05-15,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","12,496
-0.6%

173.57


USD 2,168,962","12,496
-0.6%",173.57,"USD 2,168,962",
2024-05-15,2024-05-15,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","12,496
-0.6%

173.57


USD 2,168,962","12,496
-0.6%",173.57,"USD 2,168,962",
2024-05-15,2024-05-15,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","10,004
-0.4%

172.78


USD 1,728,535","10,004
-0.4%",172.78,"USD 1,728,535",
2024-05-15,2024-05-15,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","10,004
-0.4%

172.78


USD 1,728,535","10,004
-0.4%",172.78,"USD 1,728,535",
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","473
-9.7%

169.50


USD 80,172","473
-9.7%",169.50,"USD 80,172",
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","473
-9.7%

169.50


USD 80,172","473
-9.7%",169.50,"USD 80,172",
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","5
-0.1%

170.03


USD 850","5
-0.1%",170.03,USD 850,
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","5
-0.1%

170.03


USD 850","5
-0.1%",170.03,USD 850,
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","660
-11.9%

167.65


USD 110,651","660
-11.9%",167.65,"USD 110,651",
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","660
-11.9%

167.65


USD 110,651","660
-11.9%",167.65,"USD 110,651",
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","79
-1.4%

168.12


USD 13,282","79
-1.4%",168.12,"USD 13,282",
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","79
-1.4%

168.12


USD 13,282","79
-1.4%",168.12,"USD 13,282",
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","280
-4.8%

166.68


USD 46,670","280
-4.8%",166.68,"USD 46,670",
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","280
-4.8%

166.68


USD 46,670","280
-4.8%",166.68,"USD 46,670",
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","3
-0.1%

165.90


USD 498","3
-0.1%",165.90,USD 498,
2024-05-13,2024-05-13,"S
Sale","HENNESSY JOHN L




Non-Executive Director","3
-0.1%

165.90


USD 498","3
-0.1%",165.90,USD 498,
2024-05-14,2024-05-02,"S
Sale","O'Toole Amie Thuener

VP, Chief Accounting Officer
Officer","682
-2.3%

166.67


USD 113,669","682
-2.3%",166.67,"USD 113,669",
2024-05-01,2024-05-01,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","1,990
-0.1%

168.31


USD 334,936","1,990
-0.1%",168.31,"USD 334,936",
2024-05-01,2024-05-01,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","6,600
-0.3%

167.40


USD 1,104,823","6,600
-0.3%",167.40,"USD 1,104,823",
2024-05-01,2024-05-01,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","9,076
-0.4%

166.65


USD 1,512,488","9,076
-0.4%",166.65,"USD 1,512,488",
2024-05-01,2024-05-01,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","4,834
-0.2%

165.67


USD 800,854","4,834
-0.2%",165.67,"USD 800,854",
2024-04-30,2024-04-30,"S
Sale","ARNOLD FRANCES




Non-Executive Director","80
-0.5%

167.38


USD 13,390","80
-0.5%",167.38,"USD 13,390",
2024-04-26,2024-04-26,"S
Sale","HENNESSY JOHN L




Non-Executive Director","2,100
-26.3%

175.76


USD 369,096","2,100
-26.3%",175.76,"USD 369,096",
2024-04-17,2024-04-17,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","22,500
-1.0%

157.41


USD 3,541,763","22,500
-1.0%",157.41,"USD 3,541,763",
2024-04-15,2024-04-12,"S
Sale","HENNESSY JOHN L




Non-Executive Director","68
-0.8%

161.16


USD 10,959","68
-0.8%",161.16,"USD 10,959",
2024-04-15,2024-04-12,"S
Sale","HENNESSY JOHN L




Non-Executive Director","94
-1.2%

160.45


USD 15,082","94
-1.2%",160.45,"USD 15,082",
2024-04-15,2024-04-12,"S
Sale","HENNESSY JOHN L




Non-Executive Director","393
-4.6%

159.53


USD 62,695","393
-4.6%",159.53,"USD 62,695",
2024-04-15,2024-04-12,"S
Sale","HENNESSY JOHN L




Non-Executive Director","245
-2.8%

158.82


USD 38,912","245
-2.8%",158.82,"USD 38,912",
2024-04-04,2024-04-03,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","1,308
-0.1%

156.41


USD 204,588","1,308
-0.1%",156.41,"USD 204,588",
2024-04-04,2024-04-03,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","17,352
-0.7%

155.82


USD 2,703,726","17,352
-0.7%",155.82,"USD 2,703,726",
2024-04-04,2024-04-03,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","3,840
-0.2%

154.77


USD 594,326","3,840
-0.2%",154.77,"USD 594,326",
2024-04-02,2024-04-02,"S
Sale","O'Toole Amie Thuener

VP, Chief Accounting Officer
Officer","682
-2.3%

154.79


USD 105,567","682
-2.3%",154.79,"USD 105,567",
2024-04-02,2024-04-01,"S
Sale","RAGHAVAN PRABHAKAR

Senior Vice President
Officer","1,758
-1.2%

156.39


USD 274,931","1,758
-1.2%",156.39,"USD 274,931",
2024-04-02,2024-04-01,"S
Sale","RAGHAVAN PRABHAKAR

Senior Vice President
Officer","1,300
-0.9%

155.95


USD 202,733","1,300
-0.9%",155.95,"USD 202,733",
2024-04-02,2024-04-01,"S
Sale","RAGHAVAN PRABHAKAR

Senior Vice President
Officer","200
-0.1%

152.43


USD 30,485","200
-0.1%",152.43,"USD 30,485",
2024-03-29,2024-03-28,"S
Sale","ARNOLD FRANCES




Non-Executive Director","90
-0.6%

152.00


USD 13,680","90
-0.6%",152.00,"USD 13,680",
2024-03-29,2024-03-27,"S
Sale","WALKER JOHN KENT

President, Global Affairs, CLO
Officer","12,084
-19.9%

151.19


USD 1,826,930","12,084
-19.9%",151.19,"USD 1,826,930",
2024-03-20,2024-03-20,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","10,130
-0.4%

149.32


USD 1,512,592","10,130
-0.4%",149.32,"USD 1,512,592",
2024-03-20,2024-03-20,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","12,370
-0.5%

148.34


USD 1,834,988","12,370
-0.5%",148.34,"USD 1,834,988",
2024-03-19,2024-03-18,"S
Sale","HENNESSY JOHN L




Non-Executive Director","500
-5.4%

149.50


USD 74,750","500
-5.4%",149.50,"USD 74,750",
2024-03-12,2024-03-12,"S
Sale","HENNESSY JOHN L




Non-Executive Director","285
-3.0%

139.58


USD 39,779","285
-3.0%",139.58,"USD 39,779",
2024-03-12,2024-03-12,"S
Sale","HENNESSY JOHN L




Non-Executive Director","15
-0.2%

138.23


USD 2,073","15
-0.2%",138.23,"USD 2,073",
2024-03-08,2024-03-08,"S
Sale","Porat Ruth




President, CFO
Officer","100
-0.0%

138.93


USD 13,893","100
-0.0%",138.93,"USD 13,893",
2024-03-08,2024-03-08,"S
Sale","Porat Ruth




President, CFO
Officer","17,046
-1.0%

138.28


USD 2,357,051","17,046
-1.0%",138.28,"USD 2,357,051",
2024-03-08,2024-03-08,"S
Sale","Porat Ruth




President, CFO
Officer","9,700
-0.5%

137.29


USD 1,331,678","9,700
-0.5%",137.29,"USD 1,331,678",
2024-03-08,2024-03-08,"S
Sale","Porat Ruth




President, CFO
Officer","19,831
-1.1%

136.42


USD 2,705,399","19,831
-1.1%",136.42,"USD 2,705,399",
2024-03-08,2024-03-08,"S
Sale","Porat Ruth




President, CFO
Officer","1,400
-0.1%

135.06


USD 189,081","1,400
-0.1%",135.06,"USD 189,081",
2024-03-06,2024-03-06,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","1,100
-0.0%

134.27


USD 147,696","1,100
-0.0%",134.27,"USD 147,696",
2024-03-06,2024-03-06,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","2,400
-0.1%

133.43


USD 320,237","2,400
-0.1%",133.43,"USD 320,237",
2024-03-06,2024-03-06,"S
Sale","Pichai Sundar




Chief Executive Officer
Executive Director","19,000
-0.8%

132.51


USD 2,517,738","19,000
-0.8%",132.51,"USD 2,517,738",
